id,title_english,title_original,director,country,winner,festival,year_festival,link_film,link_director
1028,The Funeral,N/A,Abel Ferrara,United States,0,venice,1996,https://en.wikipedia.org/wiki/The_Funeral_(1996_film),https://en.wikipedia.org/wiki/Abel_Ferrara
1029,Ilona Arrives with the Rain,Ilona llega con la lluvia,Sergio Cabrera,"Colombia, Italy, Spain",0,venice,1996,https://en.wikipedia.org/wiki/Ilona_Arrives_with_the_Rain,https://en.wikipedia.org/wiki/Sergio_Cabrera_(director)
1030,"Men, Women: A User's Manual","Hommes, femmes, mode d'emploi",Claude Lelouch,France,0,venice,1996,"https://en.wikipedia.org/wiki/Men,_Women:_A_User%27s_Manual",https://en.wikipedia.org/wiki/Claude_Lelouch
1031,Michael Collins,N/A,Neil Jordan,United States,1,venice,1996,https://en.wikipedia.org/wiki/Michael_Collins_(film),https://en.wikipedia.org/wiki/Neil_Jordan
1032,The Ogre,Der Unhold,Volker Schlöndorff,"France, Germany, UK",0,venice,1996,https://en.wikipedia.org/wiki/The_Ogre_(1996_film),https://en.wikipedia.org/wiki/Volker_Schl%C3%B6ndorff
1033,Party,N/A,Manoel de Oliveira,"France, Portugal",0,venice,1996,https://en.wikipedia.org/wiki/Party_(1996_film),https://en.wikipedia.org/wiki/Manoel_de_Oliveira
1034,Ponette,N/A,Jacques Doillon,France,0,venice,1996,https://en.wikipedia.org/wiki/Ponette,https://en.wikipedia.org/wiki/Jacques_Doillon
1035,Sacred Silence,"Pianese Nunzio, 14 anni a maggio",Antonio Capuano,Italy,0,venice,1996,https://en.wikipedia.org/wiki/Sacred_Silence,https://en.wikipedia.org/wiki/Antonio_Capuano_(director)
1036,Vesna Goes Fast,Vesna va veloce,Carlo Mazzacurati,"Italy, France",0,venice,1996,https://en.wikipedia.org/wiki/Vesna_Goes_Fast,https://en.wikipedia.org/wiki/Carlo_Mazzacurati
1037,Blinded,A ciegas,Daniel Calparsoro,Spain,0,venice,1997,https://en.wikipedia.org/wiki/Blinded_(1997_film),https://en.wikipedia.org/w/index.php?title=Daniel_Calparsoro&action=edit&redlink=1
